pick_reason,entry_number,scores_file,mpid__signal_score,resnet34_gn__signal_score,n_pixels,reference_folder,dataset,run_number,subrun_number,event_number
A_high_tail+C_weird_lowpix,495,run1_NuMI_dirt_larcv_cropped_scores.csv,0.9928505420684814,0.8824428915977478,54,mpid,run1_samples,7017,251,12571
B_border,414,run1_NuMI_dirt_larcv_cropped_scores.csv,0.4993837475776672,0.0062786848284304,729,mpid,run1_samples,7014,1713,85674
D_busy,705,run1_NuMI_dirt_larcv_cropped_scores.csv,0.0003215793694835,0.0079333772882819,4916,mpid,run1_samples,7020,451,22557
A_high_tail+C_weird_lowpix,4953,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,0.999585211277008,0.997687816619873,1813,mpid,run1_samples,6783,197,9860
B_border+C_weird_lowpix,734,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,0.4999464750289917,0.005425754468888,1333,mpid,run1_samples,6371,57,2852
D_busy,7988,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,4.440649354364723e-05,0.0030080943834036,2650,mpid,run1_samples,7008,528,26421
A_high_tail+C_weird_lowpix,452,run1_offbeam_larcv_cropped_full_set_scores.csv,0.9975531697273254,0.8202998042106628,277,mpid,run1_samples,5092,113,5677
B_border,3374,run1_offbeam_larcv_cropped_full_set_scores.csv,0.4995752573013305,0.4182586073875427,666,mpid,run1_samples,6429,94,4716
D_busy,3775,run1_offbeam_larcv_cropped_full_set_scores.csv,0.0001206572414957,0.0058983247727155,3581,mpid,run1_samples,6360,23,1155
E_disagree+E_vs_run1_samples_resnet34_gn+E_strong_flip_m0.2+E_ref_gt_other,4856,run1_NuMI_nu_overlay_larcv_cropped_scores.csv,0.9901424050331116,0.0071992557495832,1455,mpid,run1_samples,6800,81,4051
